ISBN	TITULO	AUTORES	DESCRIPCION	GENEROS	IMAGEN	ANIO	PUBLISHER
074322678X	Where you'll find me, and other stories	Ann Beattie	NODESCRIPTION	Manners and customs|Fiction|Accessible book|Protected DAISY	https://covers.openlibrary.org/b/id/472439-M.jpg	2002	Scribner
080652121X	Hitler's Secret Bankers: The Myth Of Swiss Neutrality During The Holocau	Kensington	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1524674-M.jpg	2000	Citadel Press
1552041778	Jane Doe	R. J. Kaiser	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1867563-M.jpg	1999	Mira Books
1558746218	A second chicken soup for the woman's soul	Jack Canfield	NODESCRIPTION	Women|Conduct of life|Anecdotes|Protected DAISY|Accessible book|In library	https://covers.openlibrary.org/b/id/6631952-M.jpg	1998	Health Communications
1567407781	Witchfinder, The (Amos Walker)	Loren D. Estleman	NODESCRIPTION	NOGENRE	NOIMAGE	1998	Brilliance Audio - Trade
1575663937	More cunning than man	Robert Hendrickson	NODESCRIPTION	History|Rats|Control|Rats as carriers of disease|Social aspects|Rodents|Social history|Social aspects of Rats	https://covers.openlibrary.org/b/id/828902-M.jpg	1999	Kensington Publishing Corp.
1881320189	Goodbye to the buttermilk sky	Julia Oliver	NODESCRIPTION	Depressions|Farm life|Fiction|Married women|The Great Depression|love gone awry|rural and small town life|rural and small town life in central Alabama in the summer of 1938|rural life|summer|Protected DAISY	https://covers.openlibrary.org/b/id/3883671-M.jpg	1994	River City Pub
1841721522	New vegetarian	Celia Brooks Brown	NODESCRIPTION	International Cookery|Vegetarian cookery	https://covers.openlibrary.org/b/id/887026-M.jpg	2001	Ryland Peters &amp; Small Ltd
1879384493	If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? 	J. R. Parrish	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/925572-M.jpg	2003	Cypress House
3404921038	Wie Barney es sieht.	Mordecai Richler	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1000890-M.jpg	2002	L�?¼bbe
3442353866	Der Fluch der Kaiserin. Ein Richter- Di- Roman.	Eleanor Cooney	NODESCRIPTION	NOGENRE	NOIMAGE	2001	Goldmann
3442410665	Sturmzeit	Charlotte Link	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1006449-M.jpg	1991	Goldmann
3442446937	Tage der Unschuld.	Richard North Patterson	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/2204729-M.jpg	2000	Goldmann
038078243X	Miss Zukas and the Raven's Dance	Jo Dereske	By Tuesday, the day Miss Helma Zukas discovered she'd been drafted, the inhabitants of Bellehaven, Washington had seen only eleven minutes of sunshine in the past eight days.	NOGENRE	https://covers.openlibrary.org/b/id/235993-M.jpg	1996	Avon
067176537X	The therapeutic touch	Dolores Krieger	NODESCRIPTION	Accessible book|Mental healing|Protected DAISY|Therapeutic use|Vital force|Guérison par l'esprit|Emploi en thérapeutique|Popular Works|Mental Healing|Psiquiatria (Terapeutica)|Touch|Force vitale|In library	NOIMAGE	1979	Fireside
042518630X	Purity in death	J. D. Robb	NODESCRIPTION	Fiction|Eve Dallas (Fictitious character)|Policewomen|Police|Large type books|Women detectives|Detective and mystery stories|Accessible book|Protected DAISY|Popular Print Disabled Books	https://covers.openlibrary.org/b/id/272278-M.jpg	2002	Berkley Publishing Group
2070423204	Lieux dits	Michel Tournier	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/969000-M.jpg	2002	Gallimard
042511774X	Breathing lessons	Anne Tyler	MAGGIE AND IRA MORAN HAD TO go to a funeral in Deer Lick, Pennsylvania.|MAGGIE AND IRA MORAN HAD TO go to a funeral in Deer Lick, Pennsylvania.	Fiction|Married people|Funeral rites and ceremonies|Accessible book|Protected DAISY|Maryland|In library	https://covers.openlibrary.org/b/id/6384905-M.jpg	1994	Berkley Publishing Group
1853262404	Heart of darkness and other stories	Joseph Conrad	NODESCRIPTION	Horror tales|Sea stories|Fiction|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6509358-M.jpg	1998	NTC/Contemporary Publishing Company
1853260053	Tess of the D'Urbervilles (Wordsworth Classics) (Wordsworth Classics)	Thomas Hardy	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/901979-M.jpg	1997	NTC/Contemporary Publishing Company
1414035004	The Adventures of Drew and Ellie	Charles Noland	NODESCRIPTION	NOGENRE	https://covers.openlibrary.org/b/id/1782193-M.jpg	2003	1stBooks Library
1558531025	Life's little instruction book	H. Jackson Brown	NODESCRIPTION	Conduct of life|Happiness|Quotations, maxims|Accessible book|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6629450-M.jpg	1991	Thomas Nelson
1569871213	Black Beauty	Ron Huron	NODESCRIPTION	Horses|Fiction|Protected DAISY|In library	https://covers.openlibrary.org/b/id/6822608-M.jpg	1995	Landoll
